"Carimbo de data/hora","Sendo bem sincero(a), como você tenta controlar sua grana hoje?","Qual é a parada mais chata (ou que te dá mais preguiça) na hora de cuidar do seu dinheiro?","Cenário: bar com 5 amigos, a conta chegou. Como costuma ser a divisão?","Quando você consegue (ou tenta) juntar dinheiro, qual é o seu maior foco?","Se você pudesse inventar o app de finanças dos sonhos (ou mudar algo nos que já existem), como ele seria?"
"2026/03/27 11:33:52 AM GMT-3","Bloco de notas do celular ou caderninho.","Termos difíceis de banco (CDB, CDI, Liquidez).","Cada um paga o seu direto na maquininha (e o garçom odeia a gente).","Sobrevivência / Reserva de emergência.","Colocaria mais explicações simples pros termos que já são usados nos bancos. Também faria uma parte para consultoria com agente de forma rápida e fácil online."
"2026/03/27 11:37:02 AM GMT-3","Bloco de notas do celular ou caderninho.","Ter que anotar tudo na mão, gasto por gasto.","Cada um paga o seu direto na maquininha (e o garçom odeia a gente).","Viagens.","Uso os cofrinhos do picpay pra separar o dinheiro pra cada tipo de gasto, mas é um saco pq ele fica ""bloqueado"" e ai toda vez tenho que entrar e resgatar do cofrinho pra usar. Tem vezes que acabo usando o credito por ser mais rapido (péssimo, gasto mais que devia)
Queria que eu pudesse separar quanto dinheiro tenho pra cada gasto direto no banco mesmo, e quando for pagar algo gasta dessa categoria e me avisa qto ainda tenho (tipo tem no app do flash) https://flashapp.com.br/hubfs/Site%20P%C3%A1gina%20Cart%C3%A3o%20Flash/categorias-beneficios.webp"
"2026/03/27 11:37:12 AM GMT-3","Na força da mente / Deixo na mão de Deus.","Falta de customização (os apps são feios e engessados).","Um paga tudo e cobra a galera no Pix depois (e sempre dá estresse).","Sobrevivência / Reserva de emergência.","n/a"
"2026/03/27 11:55:10 AM GMT-3","Apps de grandes bancos (só olho o saldo e choro).","Olhar o saldo e sentir ansiedade/culpa.","Cada um paga o seu direto na maquininha (e o garçom odeia a gente).","Sobrevivência / Reserva de emergência.",""
"2026/03/27 11:58:51 AM GMT-3","Planilhas (Excel/Notion) complexas.","Falta de customização (os apps são feios e engessados).","Usamos a calculadora do celular e ficamos quebrando a cabeça.","Comprar algo caro (Setup gamer, celular, roupas).","Teria uma funcionalidade de gestão de gastos, que substituiria a planilha habitual"
"2026/03/27 12:03:07 PM GMT-3","Planilhas (Excel/Notion) complexas.","Falta de customização (os apps são feios e engessados).","Cada um paga o seu direto na maquininha (e o garçom odeia a gente).","Viagens.","mais fácil de mexer é que pudesse ser personalizado (não gosto de app com mt coisa e mt informação na mesma tela)"
"2026/03/27 12:13:41 PM GMT-3","Planilhas (Excel/Notion) complexas.","Ter que anotar tudo na mão, gasto por gasto.","Usamos a calculadora do celular e ficamos quebrando a cabeça.","Comprar algo caro (Setup gamer, celular, roupas).",""
"2026/03/27 12:41:36 PM GMT-3","Bloco de notas do celular ou caderninho.","Olhar o saldo e sentir ansiedade/culpa.","Cada um paga o seu direto na maquininha (e o garçom odeia a gente).","Rolê / Festivais / Shows.","Mostrar no que está gastando muito e como pode economizar"
"2026/03/27 12:58:59 PM GMT-3","Na força da mente / Deixo na mão de Deus.","Olhar o saldo e sentir ansiedade/culpa.","Usamos a calculadora do celular e ficamos quebrando a cabeça.","Viagens.","Gostaria de algo intuitivo, fácil de mexer pq sou uma pessoa prática. Quando algo é muito complicado, eu perco a paciência. Não sei se mudaria algo em algum q já existe pq não uso "
"2026/03/27 1:10:30 PM GMT-3","App financeiro tradicional (Mobills, Guiabolso, etc).","Ter que anotar tudo na mão, gasto por gasto.","Cada um paga o seu direto na maquininha (e o garçom odeia a gente).","Comprar algo caro (Setup gamer, celular, roupas).","Um app q após preenchermos nossas characteristicas de perfil, nos indique quais bancos estao com as melhores opções de investimento, de acordo com nossos objetivos. Tipo oq o trivag9 faz com hotel."
"2026/03/27 3:30:36 PM GMT-3","Planilhas (Excel/Notion) complexas.","Termos difíceis de banco (CDB, CDI, Liquidez).","Cada um paga o seu direto na maquininha (e o garçom odeia a gente).","Sobrevivência / Reserva de emergência.",""
"2026/03/27 4:44:13 PM GMT-3","Apps de grandes bancos (só olho o saldo e choro).","Olhar o saldo e sentir ansiedade/culpa.","Cada um paga o seu direto na maquininha (e o garçom odeia a gente).","Comprar algo caro (Setup gamer, celular, roupas).",""
"2026/03/27 4:51:31 PM GMT-3","Apps de grandes bancos (só olho o saldo e choro).","Falta de customização (os apps são feios e engessados).","Um paga tudo e cobra a galera no Pix depois (e sempre dá estresse).","Comprar algo caro (Setup gamer, celular, roupas).","Queria que mostrasse com mais clareza as informações de forma mais granular e segmentada, gráficos e visualidade. E até projeções. Alguns bancos são muito limitados, não da pra ver tudo diretamente, tenho q fazer os cálculos todos por fora."
"2026/03/27 6:26:57 PM GMT-3","Planilhas (Excel/Notion) complexas.","Termos difíceis de banco (CDB, CDI, Liquidez).","Cada um paga o seu direto na maquininha (e o garçom odeia a gente).","Comprar algo caro (Setup gamer, celular, roupas).","teriam opções q poderiam funcionar como as caixinhas da nubank ou uma poupança, mas tudo como conta corrente pra que eu pudesse escolher de qual dinheiro gastar, o do lazer, o de viagem, ou o de reserva antes de fazer um pix por exemplo "
"2026/03/27 8:17:38 PM GMT-3","Na força da mente / Deixo na mão de Deus.","Ter que anotar tudo na mão, gasto por gasto.","Cada um paga o seu direto na maquininha (e o garçom odeia a gente).","Viagens.","mais interessante, interativo e fácil de entender "
"2026/03/27 8:54:34 PM GMT-3","Planilhas (Excel/Notion) complexas.","Ter que anotar tudo na mão, gasto por gasto.","Cada um paga o seu direto na maquininha (e o garçom odeia a gente).","Viagens.","Algo prático, que não perca tempo para subir os gastos mas que seja bastante seguro "
"2026/03/27 9:03:37 PM GMT-3","Bloco de notas do celular ou caderninho.","Olhar o saldo e sentir ansiedade/culpa.","Cada um paga o seu direto na maquininha (e o garçom odeia a gente).","Comprar algo caro (Setup gamer, celular, roupas).","Simples, prático, mais rapidez e suporte"